Date,Price
03/12/07,30973.95
04/12/07,31433.46
05/12/07,31312.64
06/12/07,31647.23
07/12/07,31228.46
10/12/07,31898.35
11/12/07,31818.25
12/12/07,32051.25
13/12/07,31551.58
14/12/07,31062.88
17/12/07,31270.21
18/12/07,31820.15
19/12/07,31643.15
20/12/07,31448.16
21/12/07,32051.22
24/12/07,32051.22
25/12/07,32051.22
26/12/07,32051.22
27/12/07,32678.19
28/12/07,32878.93
31/12/07,32878.93
01/01/08,32878.93
02/01/08,33386.34
03/01/08,33842.98
04/01/08,33618.60
07/01/08,33764.23
08/01/08,34306.71
09/01/08,34451.89
10/01/08,34737.76
11/01/08,35011.85
14/01/08,35439.58
15/01/08,35848.95
16/01/08,34961.66
17/01/08,34917.11
18/01/08,34662.60
21/01/08,34462.29
22/01/08,34549.38
23/01/08,35161.38
24/01/08,35888.10
25/01/08,36146.91
28/01/08,36303.12
29/01/08,36406.81
30/01/08,36200.60
31/01/08,36356.48
01/02/08,36004.56
04/02/08,35253.97
05/02/08,35105.06
06/02/08,35675.27
07/02/08,35571.62
08/02/08,36315.57
11/02/08,36440.01
12/02/08,36395.73
13/02/08,35733.00
14/02/08,35882.13
15/02/08,36198.88
18/02/08,35935.80
19/02/08,36895.32
20/02/08,36984.00
21/02/08,37731.49
22/02/08,37767.15
25/02/08,37477.18
26/02/08,37390.99
27/02/08,38164.11
28/02/08,38274.83
29/02/08,38881.86
03/03/08,39925.52
04/03/08,39700.20
05/03/08,39277.22
06/03/08,39357.83
07/03/08,39400.84
10/03/08,39261.89
11/03/08,39246.20
12/03/08,39341.92
13/03/08,40262.68
14/03/08,40616.66
17/03/08,41193.27
18/03/08,40783.44
19/03/08,38752.16
20/03/08,37428.07
21/03/08,37428.07
24/03/08,37428.07
25/03/08,37139.51
26/03/08,38004.91
27/03/08,37959.94
28/03/08,37285.92
31/03/08,37442.69
01/04/08,35607.65
02/04/08,35546.60
03/04/08,35886.90
04/04/08,36192.84
07/04/08,37004.41
08/04/08,36618.30
09/04/08,36693.75
10/04/08,37036.48
11/04/08,37082.17
14/04/08,37032.21
15/04/08,37194.65
16/04/08,37757.48
17/04/08,37636.61
18/04/08,36154.62
21/04/08,36625.19
22/04/08,36669.51
23/04/08,36007.39
24/04/08,35976.71
25/04/08,35771.44
28/04/08,35811.46
29/04/08,35591.60
30/04/08,35353.89
01/05/08,34623.27
02/05/08,34707.58
05/05/08,34707.58
06/05/08,36022.80
07/05/08,36032.38
08/05/08,36610.37
09/05/08,36432.84
12/05/08,37089.33
13/05/08,36563.55
14/05/08,36756.93
15/05/08,37532.44
16/05/08,38158.38
19/05/08,38562.51
20/05/08,39026.29
21/05/08,39592.09
22/05/08,39567.52
23/05/08,39650.63
26/05/08,39650.63
27/05/08,38931.31
28/05/08,38608.95
29/05/08,37492.18
30/05/08,37387.51
02/06/08,37732.86
03/06/08,37438.46
04/06/08,37902.15
05/06/08,37777.46
06/06/08,38269.24
09/06/08,38511.86
10/06/08,37815.46
11/06/08,37494.74
12/06/08,36800.83
13/06/08,37134.08
16/06/08,38216.96
17/06/08,37781.09
18/06/08,38144.75
19/06/08,38829.00
20/06/08,39113.25
23/06/08,37918.24
24/06/08,38106.18
25/06/08,37724.32
26/06/08,39017.55
27/06/08,39429.08
30/06/08,40051.91
01/07/08,40364.06
02/07/08,40393.45
03/07/08,40348.80
04/07/08,40182.32
07/07/08,39649.44
08/07/08,39828.64
09/07/08,39973.75
10/07/08,40365.62
11/07/08,41287.53
14/07/08,41478.80
15/07/08,42496.60
16/07/08,42115.59
17/07/08,41473.05
18/07/08,40808.57
21/07/08,41042.16
22/07/08,41003.17
23/07/08,39038.08
24/07/08,38985.28
25/07/08,38941.75
28/07/08,39248.75
29/07/08,38952.71
30/07/08,38045.03
31/07/08,39005.82
01/08/08,38680.88
04/08/08,38376.63
